,r,señal,FFF,Limit,In,Z,Big Z,xpos,xneg,ypos,yneg,Rho,delta0 = 0.001 h0 = 228.57142857142858 h1 = -2714.2857142857138 h2 = 37142.857142857145 h3 = -900000.0 h4 = 800000.0
91,-56.0,0.26118,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,34.38461538461539,-13.15954415954416,0.56,-3.0656885435081416e-06
92,-55.0,0.37772,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,33.96011396011396,-12.735042735042734,0.55,-3.1224501290091242e-06
93,-54.0,0.50015,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,33.535612535612536,-12.31054131054131,0.54,-3.184123115302371e-06
94,-53.0,0.6258699999999999,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,33.111111111111114,-11.886039886039885,0.53,-3.2513279515599823e-06
95,-52.0,0.7529,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,32.686609686609685,-11.461538461538462,0.52,-3.3247908180524198e-06
96,-51.0,0.87061,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,32.26210826210826,-11.037037037037036,0.51,-3.4053670101648953e-06
97,-50.0,0.98244,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,31.837606837606838,-10.612535612535613,0.5,-3.4940691927340123e-06
98,-49.0,1.0598,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,31.413105413105413,-10.188034188034187,0.49,-3.5921057234063865e-06
99,-48.0,1.0898,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,30.988603988603987,-9.763532763532764,0.48,-3.7009281402850677e-06
100,-47.0,1.0987,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,30.564102564102566,-9.339031339031338,0.47,-3.822295490679599e-06
101,-46.0,1.1006,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,30.13960113960114,-8.914529914529915,0.46,-3.958356902993891e-06
102,-45.0,1.1008,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,29.715099715099715,-8.49002849002849,0.45,-4.11176460099473e-06
103,-44.0,1.1009,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,29.29059829059829,-8.065527065527066,0.44,-4.285825556315066e-06
104,-43.0,1.1028,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,28.866096866096868,-7.641025641025641,0.43,-4.484712261387836e-06
105,-42.0,1.1001,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,28.441595441595442,-7.216524216524217,0.42,-4.713757046023136e-06
106,-41.0,1.1025,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,28.017094017094017,-6.7920227920227925,0.41,-4.9798738883659586e-06
107,-40.0,1.1029,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,27.59259259259259,-6.367521367521367,0.4,-5.292173479714299e-06
108,-37.0,1.1016,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,26.31908831908832,-5.094017094017094,0.37,-6.65329816325418e-06
109,-34.0,1.1013,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,25.045584045584047,-3.8205128205128207,0.34,-9.312465465670405e-06
110,-31.0,1.1036,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,23.77207977207977,-2.547008547008547,0.31,-1.607134478921724e-05
111,-28.0,1.1046,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,22.498575498575498,-1.2735042735042734,0.28,-4.775754635100232e-05
112,-25.0,1.1043,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,21.225071225071225,0.0,0.25,-110.58340370522205
113,-22.0,1.104,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,19.951566951566953,1.2735042735042734,0.22,-150.6498957295764
114,-19.0,1.1048,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,18.678062678062677,2.547008547008547,0.19,-96.96526767346788
115,-16.0,1.1017,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,17.404558404558404,3.8205128205128207,0.16,-57.81755832047649
116,-13.0,1.0998,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,16.13105413105413,5.094017094017094,0.13,-30.911476758705756
117,-10.0,1.0995,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,14.857549857549857,6.367521367521367,0.1,-13.951718964435202
118,-7.0,1.0972,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,13.584045584045585,7.641025641025641,0.07,-4.642979675755053
119,-4.0,1.0968,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,12.31054131054131,8.914529914529915,0.04,-0.689953393215022
120,-1.0,1.0988,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,11.037037037037036,10.188034188034187,0.01,0.20266544572764833
121,0.0,1.0965,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,10.612535612535613,10.612535612535613,0.0,0.21683399873503653
122,1.0,1.0968,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,10.188034188034187,11.037037037037036,0.01,0.20266544572764833
123,4.0,1.0984,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,8.914529914529915,12.31054131054131,0.04,-0.689953393215022
124,7.0,1.0998,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,7.641025641025641,13.358885017421603,0.07,-4.642979675541219
125,10.0,1.1036,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,6.367521367521367,11.132404181184668,0.1,-13.951718952091536
126,13.0,1.1032,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,5.094017094017094,8.905923344947736,0.13,-30.911476690972187
127,16.0,1.1063,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,3.8205128205128207,6.679442508710801,0.16,-57.81755804421272
128,19.0,1.1059,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,2.547008547008547,4.452961672473868,0.19,-96.96526652042658
129,22.0,1.1051,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,1.2735042735042734,2.226480836236934,0.22,-150.64988822668656
130,25.0,1.1059,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,0.0,0.0,0.25,-0.0
131,28.0,1.1025,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-2.226480836236934,-2.226480836236934,0.28,310.8112115548682
132,31.0,1.1021,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-4.452961672473868,-4.452961672473868,0.31,421.8785197502965
133,34.0,1.1033,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-6.679442508710801,-6.679442508710801,0.34,556.6639694662151
134,37.0,1.1025,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-8.905923344947736,-8.905923344947736,0.37,717.462879927476
