,r,señal,FFF,Area,In,Z
525,6.0,0.86529,1,400,0,100
526,9.0,0.86134,1,400,0,100
527,12.0,0.8572,1,400,0,100
528,15.0,0.85311,1,400,0,100
529,18.0,0.8478399999999999,1,400,0,100
530,21.0,0.84135,1,400,0,100
531,24.0,0.83534,1,400,0,100
532,27.0,0.82962,1,400,0,100
533,30.0,0.82184,1,400,0,100
534,33.0,0.81589,1,400,0,100
535,36.0,0.8084899999999999,1,400,0,100
536,39.0,0.8009,1,400,0,100
537,42.0,0.79288,1,400,0,100
538,45.0,0.78592,1,400,0,100
539,48.0,0.77705,1,400,0,100
540,51.0,0.7691399999999999,1,400,0,100
541,54.0,0.7619199999999999,1,400,0,100
542,57.0,0.75359,1,400,0,100
543,60.0,0.74637,1,400,0,100
544,63.0,0.73673,1,400,0,100
545,66.0,0.72932,1,400,0,100
546,69.0,0.72185,1,400,0,100
547,72.0,0.71306,1,400,0,100
548,75.0,0.7053,1,400,0,100
549,78.0,0.69713,1,400,0,100
550,81.0,0.68891,1,400,0,100
551,84.0,0.6795800000000001,1,400,0,100
552,87.0,0.6715800000000001,1,400,0,100
553,90.0,0.66108,1,400,0,100
554,91.0,0.65423,1,400,0,100
555,92.0,0.63712,1,400,0,100
556,93.0,0.59787,1,400,0,100
557,94.0,0.53145,1,400,0,100
558,95.0,0.45993,1,400,0,100
559,96.0,0.38638,1,400,0,100
560,97.0,0.30851,1,400,0,100
561,98.0,0.23023000000000002,1,400,0,100
562,99.0,0.15938,1,400,0,100
563,100.0,0.08855700000000001,1,400,0,100
564,101.0,0.039664,1,400,0,100
565,102.0,0.021131999999999998,1,400,0,100
566,103.0,0.016046,1,400,0,100
567,104.0,0.014413999999999998,1,400,0,100
568,105.0,0.013683,1,400,0,100
569,106.0,0.013113,1,400,0,100
570,107.0,0.012659,1,400,0,100
571,108.0,0.012203,1,400,0,100
572,109.0,0.011789,1,400,0,100
573,110.0,0.011432,1,400,0,100
574,113.0,0.010319,1,400,0,100
575,116.0,0.0092729,1,400,0,100
576,119.0,0.0083896,1,400,0,100
577,122.0,0.007728499999999999,1,400,0,100
578,125.0,0.0072043,1,400,0,100
579,128.0,0.0068219,1,400,0,100
580,131.0,0.0064635000000000005,1,400,0,100
581,134.0,0.006167,1,400,0,100
582,137.0,0.0059256,1,400,0,100
583,140.0,0.0056967,1,400,0,100
584,143.0,0.0055008,1,400,0,100
585,145.0,0.0054021,1,400,0,100
586,245.0,0.011138,0,1600,0,100
587,243.0,0.011887,0,1600,0,100
588,240.0,0.013165999999999999,0,1600,0,100
589,237.0,0.014591999999999999,0,1600,0,100
590,234.0,0.016316999999999998,0,1600,0,100
591,231.0,0.018203999999999998,0,1600,0,100
592,228.0,0.020191999999999998,0,1600,0,100
593,225.0,0.022518,0,1600,0,100
594,222.0,0.024821,0,1600,0,100
595,219.0,0.027212,0,1600,0,100
596,216.0,0.029608,0,1600,0,100
597,213.0,0.031823000000000004,0,1600,0,100
598,210.0,0.042494,0,1600,0,100
599,209.0,0.050111,0,1600,0,100
600,208.0,0.071122,0,1600,0,100
601,207.0,0.11947999999999999,0,1600,0,100
602,206.0,0.19694,0,1600,0,100
603,205.0,0.27784000000000003,0,1600,0,100
604,204.0,0.3618,0,1600,0,100
605,203.0,0.45138999999999996,0,1600,0,100
606,202.0,0.54093,0,1600,0,100
607,201.0,0.62115,0,1600,0,100
608,200.0,0.70133,0,1600,0,100
609,199.0,0.7548699999999999,0,1600,0,100
610,198.0,0.77488,0,1600,0,100
611,197.0,0.78068,0,1600,0,100
612,196.0,0.78314,0,1600,0,100
613,195.0,0.7834399999999999,0,1600,0,100
614,194.0,0.7842399999999999,0,1600,0,100
615,193.0,0.7844300000000001,0,1600,0,100
616,192.0,0.7855,0,1600,0,100
617,191.0,0.7851199999999999,0,1600,0,100
618,190.0,0.78492,0,1600,0,100
619,187.0,0.786,0,1600,0,100
620,184.0,0.7858,0,1600,0,100
621,181.0,0.786,0,1600,0,100
622,178.0,0.78668,0,1600,0,100
623,175.0,0.7858,0,1600,0,100
624,172.0,0.78552,0,1600,0,100
625,169.0,0.78638,0,1600,0,100
626,166.0,0.7858,0,1600,0,100
627,163.0,0.7858,0,1600,0,100
628,160.0,0.7857,0,1600,0,100
629,157.0,0.78561,0,1600,0,100
630,154.0,0.7851199999999999,0,1600,0,100
631,151.0,0.78471,0,1600,0,100
632,148.0,0.78471,0,1600,0,100
633,145.0,0.78364,0,1600,0,100
634,142.0,0.78265,0,1600,0,100
635,139.0,0.78274,0,1600,0,100
636,136.0,0.78254,0,1600,0,100
637,133.0,0.78205,0,1600,0,100
638,130.0,0.78087,0,1600,0,100
639,127.0,0.7803800000000001,0,1600,0,100
640,124.0,0.77989,0,1600,0,100
641,121.0,0.78087,0,1600,0,100
642,118.0,0.78068,0,1600,0,100
643,115.0,0.78008,0,1600,0,100
644,112.0,0.7792,0,1600,0,100
645,109.0,0.78027,0,1600,0,100
646,106.0,0.7789,0,1600,0,100
647,103.0,0.77841,0,1600,0,100
648,100.0,0.77761,0,1600,0,100
649,97.0,0.77742,0,1600,0,100
650,94.0,0.77682,0,1600,0,100
651,91.0,0.77644,0,1600,0,100
652,88.0,0.77663,0,1600,0,100
653,85.0,0.77545,0,1600,0,100
654,82.0,0.77575,0,1600,0,100
655,79.0,0.77507,0,1600,0,100
656,76.0,0.77465,0,1600,0,100
657,73.0,0.77318,0,1600,0,100
658,70.0,0.77367,0,1600,0,100
659,67.0,0.77337,0,1600,0,100
660,64.0,0.7721899999999999,0,1600,0,100
661,61.0,0.7723,0,1600,0,100
662,58.0,0.77082,0,1600,0,100
663,55.0,0.7712,0,1600,0,100
664,52.0,0.7702899999999999,0,1600,0,100
665,49.0,0.76764,0,1600,0,100
666,46.0,0.7659699999999999,0,1600,0,100
667,43.0,0.7648699999999999,0,1600,0,100
668,40.0,0.7627,0,1600,0,100
669,37.0,0.76059,0,1600,0,100
670,34.0,0.7598600000000001,0,1600,0,100
671,31.0,0.75956,0,1600,0,100
672,28.0,0.7593,0,1600,0,100
673,25.0,0.7585,0,1600,0,100
674,22.0,0.75808,0,1600,0,100
675,19.0,0.7570899999999999,0,1600,0,100
676,16.0,0.75573,0,1600,0,100
677,13.0,0.75542,0,1600,0,100
678,10.0,0.75364,0,1600,0,100
679,7.0,0.75247,0,1600,0,100
680,4.0,0.7529600000000001,0,1600,0,100
681,1.0,0.7520899999999999,0,1600,0,100
682,0.0,0.75271,0,1600,0,100
683,1.0,0.75364,0,1600,0,100
684,4.0,0.7532,0,1600,0,100
685,7.0,0.75536,0,1600,0,100
686,10.0,0.75536,0,1600,0,100
687,13.0,0.7572800000000001,0,1600,0,100
688,16.0,0.75937,0,1600,0,100
689,19.0,0.7585,0,1600,0,100
690,22.0,0.75942,0,1600,0,100
